Rama - Rede de apoio à maternidade ativa;-5.787791;-35.211162;R. da Misericórdia - Cidade Alta, Natal - RN;84 99 677553;Coordenadora Regine Marton;;
Grupo Nascer Sorrindo;-29.462617;-51.963383;R. Alberto Torres, Lajeado - RS;;;;
Espaço Ser Mãe;-8.057997;-34.888848;Av. Conde da Boa vista, 1099 - Soledade - Recife - PE;;;;
Ninho Materno;-22.975384;-47.000116;R. José Milani, 656 - Vila Bissoto;(19) 99332 7175;Rosângele Monteiro;;
Bem Querer;-26.287009;48.84436;R. Itaiopolis - Saguaçu, Joinville - SC;47 9923-6355;Ana Maria Brisola;rp.bressan@hotmail.com;
Jardim das Palmeiras;(19) 3251?8137/3295?9897/ 9133?1933;Lucía Caldeyro;lucia.caldeyrostajano@gmail.com, http://partoalternativo.blogspot.com/,www.daraluz.com.br;
Lactah – Consultório de Lactação Humana;-3.085966;-60.020631;Rua do Acre, 12, sala 419 – Edificio Cemom – Bairro Vieira Alves;(92) 8122-8890 (Jefferson) / 9166-3916 (Tania) / 8162-2196 (Valeria);Jefferson Pereira Guilherme, Tania Batista e Valeria Tavares;jeffped@hotmail.com, tbatista7@hotmail.com, valeriatavaresfono@hotmail.com;
Arte de Nascer;-22.898948;-47.065537;Campinas - SP;(19) 991336463, (19) 981141465;Camila Claro de Castro e Adriana de Lima Mello;contato@artedenascer.com.br;
Gerar e Nascer Humanizado;-23.197904;-46.883429;R. Silva Jardim, Jundiaí - SP;(11) 3395?5569/ 6054 1180 / 7702 7008;Thiana Andreotti Ferrarezi;http://partonaturaljundiai.blogspot.com e http://gerarenascer.blogspot.com;
Ciranda Materna;-23.306946;-46.589692;Rua Dom José Maurício da Rocha, SN ? Pólo Uninter;(11) 99501?5292 vivo / (11) 98546?1426 o;Mariana Prata;mariana.prata@uol.com.br;
Grupo de Apoio a Amorização e Respeito pelo Parto ? Gerando Amor;-21,998,695;-47,436,461;Rua José Germano de Souza, 593, Rosário, Pirassununga.;19 992487626;Dayana Fuzaro Moroni;contato@gerarluz.com.br;
Encontro da Boa Hora;-21.192735;-47.813898;Rua Itacolomi, 480 ? Alto da Boa Vista,  Ribeirão Preto;(16) 3878?0886;Heloísa de Oliveira Salgado;heloisa@despertardoparto.com.br;
Roda de Gestantes de Florianópolis;-27.572808;-48.550172;ncontros itinerantes (sem endereço fixo);(48) 9686-5183;Laura Muller Sagrilo;;
Roda BEBEDUBEM;-23.14036;-45.884829;Sesc, São José dos Campos - SP;(12) 3948?1858/ 9124?9820;Flavia Penido;rodabebedubem@gmail.com;
Roda Sat de Conversa – Gestação e Parto;-23.578934;-46.652523;Escola Yoga Sat ? Rua do Livramento, 123, Ibirapuera;(11) 5094?1089 / 99904?3711;Thais M. Bárrall, Michelle Santiago, Sandra Sisla;contato@yogasat.com.br, thais@gestantevita.com.br;
Grupo de Apoio à Maternidade Ativa ? GAMA;-23.552894;-46.69645;Rua Natingui, 380, Vila Madalena;(11) 2507?7090;Ana Cristina Duarte;maternidadeativa@uol.com.br;
Grupo de Gestantes ? Casa Moara / Nove Luas;-23.60725;-46.686147;Rua Guararapes, 634 ? Brooklin;(11) 5096?2318;Drika Cerqueira, Kátia Barga e Márcia Koiffman;www.casamoara.com.br;
MAMI Butantã, (Movimento de Apoio à Maternidade Integral do Butantã);-23.561548;-46.721348;Butantã, São Paulo - SP;(11) 97027?6231;Adri Natri , Ana Bach , Lili Szili , Anamaria Matsunaga e Gina Monge;mamibutanta@gmail.com;
Parto sem Medo;-23.495681;-46.625732;R.Voluntários da Pátria, 2820, Santana ? S.Paulo-SP;11 2979?1151 / 99904?3711;Alberto Guimarães, Thais M. Barrall, Juliana Freitas;www.partosemmedo.com.br;
ComMadre;-23.547976;-46.577228;Rua Terra Roxa, 160, Tatuapé, São Paulo, SP;(11)9?6799?1639 / (11)9?7985?2129;Karina Fernandes Trevisan e Thielly Soengas Manias;;
Pró?parto;-23.477693;-46.614736;Rua Gaurama, 78 ? Jd. França ? Zona Norte;;Jessica Fochetto Quiroga e Luciana Ribeiro;protagonistasdoparto@gmail.com;
Ishtar ? Espaço para Gestantes;-23.487809;-47.454865;Rua Gonçalves Dias, 478 ? Sorocaba;(15) 9707?4707/ 9118?6628;Carla e Letícia;espacoishtarsorocaba@gmail.com;
Grupo 40 Luas – Gestação em harmonia;-15.868718;-47.975988;SMPW, Quadra 16, Conjunto 06, Lote 04, Casa A. Park Way.;(61) 9984-2793.;Regina Valéria Ribas Mariz de Oliveira;reginavaleria@gmail.com;
Grupo Acalanto;-15.796899;-47.894148;Espaço Acalanto. Setor de Rádio e Televisão Sul (STRVS), Edifício Embassy Tower.;(61) 8139-0099/9209-7471;Clarissa Kahn e Clarice Andreozz;clarissa_kahn@hotmail.com;
